MSN,StateCode,Year,Data
ABICB,TX,1960,0.0
ABICB,TX,1961,0.0
ABICB,TX,1962,0.0
ABICB,TX,1963,0.0
ABICB,TX,1964,0.0
ABICB,TX,1965,0.0
ABICB,TX,1966,0.0
ABICB,TX,1967,0.0
ABICB,TX,1968,0.0
ABICB,TX,1969,0.0
ABICB,TX,1970,0.0
ABICB,TX,1971,0.0
ABICB,TX,1972,0.0
ABICB,TX,1973,0.0
ABICB,TX,1974,0.0
ABICB,TX,1975,0.0
ABICB,TX,1976,0.0
ABICB,TX,1977,0.0
ABICB,TX,1978,0.0
ABICB,TX,1979,0.0
ABICB,TX,1980,0.0
ABICB,TX,1981,1387.36617
ABICB,TX,1982,1328.80023
ABICB,TX,1983,195.95735
ABICB,TX,1984,23.52151
ABICB,TX,1985,1049.69132
ABICB,TX,1986,145.1042
ABICB,TX,1987,11.80697
ABICB,TX,1988,-277.80916
ABICB,TX,1989,27.13855
ABICB,TX,1990,61.467980000000004
ABICB,TX,1991,-21.08454
ABICB,TX,1992,39.51095
ABICB,TX,1993,37.471709999999995
ABICB,TX,1994,1581.7613199999998
ABICB,TX,1995,1373.3166800000001
ABICB,TX,1996,1805.3601600000002
ABICB,TX,1997,2363.41111
ABICB,TX,1998,1035.90235
ABICB,TX,1999,1664.54201
ABICB,TX,2000,997.4227099999999
ABICB,TX,2001,1614.17766
ABICB,TX,2002,1973.8882399999998
ABICB,TX,2003,1991.58825
ABICB,TX,2004,2888.7229
ABICB,TX,2005,2150.01741
ABICB,TX,2006,163.57711
ABICB,TX,2007,466.45937999999995
ABICB,TX,2008,25.97665
ABICB,TX,2009,-220.19169
ABICP,TX,1960,0.0
ABICP,TX,1961,0.0
ABICP,TX,1962,0.0
ABICP,TX,1963,0.0
ABICP,TX,1964,0.0
ABICP,TX,1965,0.0
ABICP,TX,1966,0.0
ABICP,TX,1967,0.0
ABICP,TX,1968,0.0
ABICP,TX,1969,0.0
ABICP,TX,1970,0.0
ABICP,TX,1971,0.0
ABICP,TX,1972,0.0
ABICP,TX,1973,0.0
ABICP,TX,1974,0.0
ABICP,TX,1975,0.0
ABICP,TX,1976,0.0
ABICP,TX,1977,0.0
ABICP,TX,1978,0.0
ABICP,TX,1979,0.0
ABICP,TX,1980,0.0
ABICP,TX,1981,274.83482000000004
ABICP,TX,1982,263.23301000000004
ABICP,TX,1983,38.81881
ABICP,TX,1984,4.6595699999999995
ABICP,TX,1985,207.94201999999999
ABICP,TX,1986,28.74489
ABICP,TX,1987,2.33894
ABICP,TX,1988,-55.03351
ABICP,TX,1989,5.3761
ABICP,TX,1990,12.1767
ABICP,TX,1991,-4.17681
ABICP,TX,1992,7.82705
ABICP,TX,1993,7.423080000000001
ABICP,TX,1994,313.34416
ABICP,TX,1995,272.05163999999996
ABICP,TX,1996,357.6387
ABICP,TX,1997,468.18762000000004
ABICP,TX,1998,205.21045
ABICP,TX,1999,329.74287000000004
ABICP,TX,2000,197.5877
ABICP,TX,2001,319.76578
ABICP,TX,2002,391.02382
ABICP,TX,2003,394.53016
ABICP,TX,2004,572.25097
ABICP,TX,2005,425.9147
ABICP,TX,2006,32.404340000000005
ABICP,TX,2007,92.40479
ABICP,TX,2008,5.14593
ABICP,TX,2009,-43.61959
ARICB,TX,1960,41700.15006
ARICB,TX,1961,48304.65713
ARICB,TX,1962,50028.63007
ARICB,TX,1963,47426.65965
ARICB,TX,1964,48850.52367
ARICB,TX,1965,51835.30801
ARICB,TX,1966,56112.985029999996
ARICB,TX,1967,59552.825970000005
ARICB,TX,1968,61556.259060000004
ARICB,TX,1969,66144.67003
ARICB,TX,1970,78867.81815
ARICB,TX,1971,76174.8896
ARICB,TX,1972,75513.20535
ARICB,TX,1973,77978.03958
ARICB,TX,1974,81041.71493999999
ARICB,TX,1975,54080.38215
ARICB,TX,1976,44787.12216
ARICB,TX,1977,36099.211110000004
ARICB,TX,1978,47413.57372
ARICB,TX,1979,62155.19263
ARICB,TX,1980,72373.22122
ARICB,TX,1981,52579.25537
ARICB,TX,1982,52122.995930000005
ARICB,TX,1983,77779.97322999999
ARICB,TX,1984,71200.39821
ARICB,TX,1985,78354.83073
ARICB,TX,1986,90548.45856
ARICB,TX,1987,83620.0417
ARICB,TX,1988,95781.00946
ARICB,TX,1989,64248.84432999999
ARICB,TX,1990,92991.42253
ARICB,TX,1991,62183.024410000005
ARICB,TX,1992,78306.85098999999
ARICB,TX,1993,84504.27655
ARICB,TX,1994,72642.51402
ARICB,TX,1995,78262.51879
ARICB,TX,1996,79380.44789
ARICB,TX,1997,69738.8638
ARICB,TX,1998,74329.5184
ARICB,TX,1999,55993.47094
ARICB,TX,2000,52804.26209
ARICB,TX,2001,77777.15837
ARICB,TX,2002,87617.12800000001
ARICB,TX,2003,92343.77999
ARICB,TX,2004,86174.82611000001
ARICB,TX,2005,114067.5041
ARICB,TX,2006,104457.8073
ARICB,TX,2007,100464.9134
ARICB,TX,2008,71106.86146
ARICB,TX,2009,61348.0105
ARICD,TX,1970,0.73506
ARICD,TX,1971,0.7621399999999999
ARICD,TX,1972,0.7751399999999999
ARICD,TX,1973,0.77361
ARICD,TX,1974,1.5638100000000001
ARICD,TX,1975,1.7690400000000002
ARICD,TX,1976,1.851
ARICD,TX,1977,1.9977900000000002
ARICD,TX,1978,2.22205
ARICD,TX,1979,2.5125900000000003
ARICD,TX,1980,3.7930099999999998
ARICD,TX,1981,5.18203
ARICD,TX,1982,4.41592
ARICD,TX,1983,4.23738
ARICD,TX,1984,4.185219999999999
ARICD,TX,1985,4.20109
ARICD,TX,1986,4.57673
ARICD,TX,1987,3.3466
ARICD,TX,1988,3.2143599999999997
ARICD,TX,1989,2.84357
ARICD,TX,1990,2.93561
ARICD,TX,1991,3.32637
ARICD,TX,1992,2.32804
ARICD,TX,1993,3.13528
ARICD,TX,1994,2.94232
ARICD,TX,1995,3.17794
ARICD,TX,1996,3.32245
ARICD,TX,1997,3.48593
ARICD,TX,1998,3.5352
ARICD,TX,1999,3.73052
ARICD,TX,2000,3.80139
ARICD,TX,2001,3.79284
ARICD,TX,2002,3.82663
ARICD,TX,2003,4.21981
ARICD,TX,2004,4.73928
ARICD,TX,2005,5.29769
ARICD,TX,2006,5.73411
ARICD,TX,2007,6.15972
ARICD,TX,2008,6.37485
ARICD,TX,2009,6.71933
ARICP,TX,1960,6283.92858
ARICP,TX,1961,7279.182809999999
ARICP,TX,1962,7538.973790000001
ARICP,TX,1963,7146.87457
ARICP,TX,1964,7361.44118
ARICP,TX,1965,7811.22785
ARICP,TX,1966,8455.844640000001
ARICP,TX,1967,8974.205240000001
ARICP,TX,1968,9276.10896
ARICP,TX,1969,9967.55124
ARICP,TX,1970,11884.843
ARICP,TX,1971,11479.03701
ARICP,TX,1972,11379.3257
ARICP,TX,1973,11750.75943
ARICP,TX,1974,12212.43444
ARICP,TX,1975,8149.54523
ARICP,TX,1976,6749.11425
ARICP,TX,1977,5439.905229999999
ARICP,TX,1978,7144.902609999999
ARICP,TX,1979,9366.36417
ARICP,TX,1980,10906.15148
ARICP,TX,1981,7923.33565
ARICP,TX,1982,7854.580459999999
ARICP,TX,1983,11720.91218
ARICP,TX,1984,10729.41504
ARICP,TX,1985,11807.53929
ARICP,TX,1986,13645.03595
ARICP,TX,1987,12600.970720000001
ARICP,TX,1988,14433.545730000002
ARICP,TX,1989,9681.863220000001
ARICP,TX,1990,14013.173980000001
ARICP,TX,1991,9370.55823
ARICP,TX,1992,11800.309070000001
ARICP,TX,1993,12734.21889
ARICP,TX,1994,10946.73207
