CLTCV,CLCCV,CLACB,ESCCV,ESRCV,ESTCB,ESTCV,GECCB,NGACB,NGCCV,NGTCV,NNCCB,PAACV,SOEGB
-1.235242162,-0.4305794,6.13068443,-1.151827027,-1.095756549,-1.369608908,-1.162514957,-0.549054633,-1.055885064,-1.086630483,-0.783796182,-0.448361141,-0.921465417,-0.356547855
-1.235242162,-0.4305794,1.372716946,-1.151827027,-1.095756549,-1.345355514,-1.162514957,-0.549054633,-1.15097117,-1.086630483,-0.783796182,-2.674119508,-0.921465417,-0.356547855
-1.235242162,-0.4305794,1.284685411,-1.151827027,-1.095756549,-1.315739632,-1.162514957,-0.549054633,-1.284091718,-1.086630483,-0.783796182,-2.966235511,-0.921465417,-0.356547855
-1.235242162,-0.4305794,0.718849811,-1.151827027,-1.095756549,-1.289791572,-1.162514957,-0.549054633,-1.271037398,-1.086630483,-0.783796182,-2.707608095,-0.921465417,-0.356547855
-1.235242162,-0.4305794,0.392660716,-1.151827027,-1.095756549,-1.265864076,-1.162514957,-0.549054633,-0.511365334,-1.086630483,-0.783796182,-0.776769063,-0.921465417,-0.356547855
-1.235242162,-0.4305794,0.180329905,-1.151827027,-1.095756549,-1.255483733,-1.162514957,-0.549054633,-0.33499805,-1.086630483,-0.783796182,-1.491083883,-0.921465417,-0.356547855
-1.235242162,-0.4305794,-0.11631927,-1.151827027,-1.095756549,-1.210841388,-1.162514957,-0.549054633,0.142701437,-1.086630483,-0.783796182,-1.754402881,-0.921465417,-0.356547855
-1.235242162,-0.4305794,-0.275470873,-1.151827027,-1.095756549,-1.189863496,-1.162514957,-0.549054633,1.128950072,-1.086630483,-0.783796182,-0.699601243,-0.921465417,-0.356547855
-1.235242162,-0.4305794,-0.282933976,-1.151827027,-1.095756549,-1.156861243,-1.162514957,-0.549054633,1.775375689,-1.086630483,-0.783796182,-0.639651635,-0.921465417,-0.356547855
-1.235242162,-0.4305794,-0.238045063,-1.151827027,-1.095756549,-1.077778313,-1.162514957,-0.549054633,2.040942406,-1.086630483,-0.783796182,-0.411783366,-0.921465417,-0.356547855
-1.22815845,-0.4305794,-0.053912284,-1.04136187,-0.995163136,-1.016635002,-1.042629856,-0.549054633,1.153558491,-0.964628961,-0.675032274,-0.853323654,-0.800133401,-0.356547855
-1.226584085,-0.4305794,0.089798415,-1.024339903,-0.982354888,-0.948989575,-1.027739246,-0.549054633,1.724420014,-0.937461476,-0.655308213,-0.268653438,-0.789809792,-0.356547855
-1.225484213,-0.4305794,0.145330523,-0.99501998,-0.953771307,-0.848991427,-0.997822513,-0.549054633,1.628405784,-0.921210524,-0.643764808,-0.035422738,-0.775203309,-0.356547855
-1.222663524,-0.4305794,-0.063673141,-0.97343723,-0.922082153,-0.768904111,-0.964902006,-0.549054633,1.120524631,-0.879512179,-0.636287362,0.941209332,-0.745779587,-0.356547855
-1.202525125,-0.4305794,-0.161869937,-0.92803331,-0.87637184,-0.715344823,-0.909551911,-0.549054633,0.716498165,-0.855601126,-0.630879974,1.190205873,-0.685102154,-0.356547855
-1.153344959,-0.4305794,0.415969128,-0.847996826,-0.81879854,-0.674421178,-0.828416332,-0.549054633,-0.690289491,-0.764933947,-0.617120418,1.09134934,-0.648888563,-0.356547855
-1.086342661,-0.4305794,0.727489364,-0.800388236,-0.796825708,-0.629994279,-0.788787203,-0.549054633,-1.142153081,-0.640618391,-0.548929799,1.909710036,-0.624138358,-0.356547855
-0.856829905,-0.4305794,1.656370027,-0.718510394,-0.728981795,-0.575102209,-0.71138027,-0.549054633,-1.24279054,-0.577636025,-0.492362023,1.406622868,-0.576871843,-0.356547855
-0.903949241,-0.4305794,-0.372583129,-0.675652688,-0.679817454,-0.542123452,-0.663965245,-0.549054633,-1.131658845,-0.53278167,-0.436739263,0.567341555,-0.534626948,-0.356547855
-0.360928149,-0.4305794,-0.372583129,-0.585529996,-0.584573411,-0.448507255,-0.559729143,-0.549054633,0.118673472,-0.480196808,-0.353348025,-0.087930058,-0.411262243,-0.356547855
-0.275359603,-0.4305794,-0.372583129,-0.508149671,-0.510095397,-0.415667581,-0.47638691,-0.549054633,0.395368429,-0.353892888,-0.296279822,0.040594759,-0.220894082,-0.356547855
