BMTCB,CLCCB,CLEIB,CLICV,ELIMB,ESCCV,ESICB,ESTCB,NGCCV,NGRCV,NNCCB,PAACV,NUETB
-1.655625502,-0.478116694,-0.828792683,-1.630477007,-0.807989196,-1.160075174,-2.356930952,-1.944819266,-1.27156904,-1.280726527,-2.714751244,-1.036418879,-1.225631045
-1.624385742,-0.488098641,-0.828792683,-1.630477007,-0.807989196,-1.160075174,-2.402698993,-1.861005666,-1.27156904,-1.280726527,-2.622404327,-1.036418879,-1.225274082
-1.54916734,-0.485751455,-0.828792683,-1.630477007,-0.807989196,-1.160075174,-2.482984508,-1.819651014,-1.27156904,-1.280726527,-2.349825122,-1.036418879,-1.225087831
-1.413348265,-0.508559743,-0.828792683,-1.630477007,-0.807989196,-1.160075174,-2.340076895,-1.743966753,-1.27156904,-1.280726527,-2.225477325,-1.036418879,-1.210722485
-1.293261128,-0.474036585,-0.828792683,-1.630477007,-0.807989196,-1.160075174,-1.899372457,-1.621773401,-1.27156904,-1.280726527,-1.816803924,-1.036418879,-1.197155329
-1.314295755,-0.427197809,-0.828792683,-1.630477007,-0.807989196,-1.160075174,-1.609350171,-1.528417432,-1.27156904,-1.280726527,-1.282475269,-1.036418879,-1.204822039
-1.243665161,-0.398656615,-0.828792683,-1.630477007,-0.807989196,-1.160075174,-1.329631825,-1.3936438,-1.27156904,-1.280726527,-1.104737538,-1.036418879,-1.213278661
-1.216779366,-0.40859346,-0.828792683,-1.630477007,-0.807989196,-1.160075174,-1.12745623,-1.294195205,-1.27156904,-1.280726527,-0.77036001,-1.036418879,-1.183246259
-1.030728376,-0.441268263,-0.828792683,-1.630477007,-0.807989196,-1.160075174,-0.902997242,-1.169160867,-1.27156904,-1.280726527,-0.654429223,-1.036418879,-1.114796618
-0.898125515,0.53513828,-0.828792683,-1.630477007,-0.807989196,-1.160075174,-0.677505924,-1.056899864,-1.27156904,-1.280726527,-0.24096728,-1.036418879,-1.048804837
-0.885126046,0.603035177,-0.828792683,-1.073479599,-0.807989196,-1.025543797,-0.471323165,-0.939308222,-1.088868472,-0.984081203,-0.237600372,-0.835522739,-1.00155631
-0.832288555,-0.509379804,-0.828792683,-1.116862113,-0.807989196,-1.01048872,-0.314658149,-0.821518953,-1.054575265,-0.925112739,0.477331699,-0.821021578,-0.977032849
-0.645435065,-0.495936277,-0.828792683,-1.102397239,-0.807989196,-0.983860336,-0.104848198,-0.666435482,-1.04677336,-0.905934676,0.265222412,-0.815414686,-1.002267013
-0.590537465,-0.547937598,-0.828792683,-0.752855803,-0.807989196,-0.960325553,-0.055624207,-0.588706382,-1.034991291,-0.89110221,0.292188897,-0.781689108,-1.038621391
-0.488487075,-0.52639429,-0.828792683,0.058796238,-0.807989196,-0.916334894,-0.416752969,-0.729645806,-1.000153249,-0.844467198,0.220704395,-0.668770391,-0.956568849
-0.648914586,-0.547937598,-0.828792683,-0.017393141,-0.807989196,-0.82708485,-0.138102389,-0.451493509,-0.901699898,-0.739051756,0.501279416,-0.620706705,-0.789833082
-0.265880316,-0.547937598,-0.828792683,0.427938383,-0.807989196,-0.775607388,0.138035008,-0.327042437,-0.854491018,-0.701917096,-0.012817112,-0.579349346,-0.879452886
-0.105665148,-0.547937598,-0.828792683,0.756622987,-0.807989196,-0.677169809,0.302138774,-0.28145251,-0.708013776,-0.723558495,0.165827911,-0.523345218,-0.655941396
0.077900285,-0.474287987,-0.828792683,0.69395131,-0.807989196,-0.630454605,0.355952627,-0.218432474,-0.67767925,-0.699294227,0.026483784,-0.472926036,-0.679375102
0.257819655,-0.474950079,-0.828792683,0.873840027,-0.807989196,-0.618609451,0.552930611,-0.104685586,-0.42754212,-0.485770544,0.893842434,-0.281623883,-0.604285154
-0.912377504,-0.468286958,-0.828792683,1.102161045,-0.762453833,-0.407383341,0.362472804,-0.137828313,-0.043380683,-0.266097264,0.859892019,-0.003313437,-0.87581611
-0.524652689,-0.506748451,-0.828792683,2.026769684,-0.78847788,-0.297004711,0.162004466,-0.091184192,-0.032251224,-0.286456085,0.357615045,0.145955664,-0.995091482
-0.657204055,-0.505775546,-0.828792683,1.654280976,-0.805373354,-0.206041415,-0.031124126,-0.166072158,0.229308149,0.019064268,0.356645928,0.06910616,-0.956044058
-0.179704786,-0.505616311,-0.828792683,0.004629443,-0.79292302,-0.271714363,0.042049077,-0.176626782,0.36204485,0.190183008,-0.158870118,-0.076169671,-0.826605834
0.2023625,0.147226354,-0.828792683,0.25210796,-0.749113486,-0.123269379,0.311549534,0.056894138,0.321907183,0.221112023,-0.743675963,-0.052364713,-0.22590858
0.229415668,0.514185512,-0.828792683,0.509319593,1.072124096,-0.014398391,0.45550621,0.1368198,0.353044988,0.363203197,-0.427998363,-0.072205263,0.140427581
-0.61278976,-0.547937598,-0.828792683,0.446380691,0.936472969,0.031900517,0.447936627,0.154642445,0.007336757,0.0190289,-0.963045678,-0.278405814,0.582168253
